persons,n
Muhammadu Buhari,267765
Goodluck Jonathan,84826
Donald Trump,59886
Nnamdi Kanu,48432
Godwin Obaseki,47327
Nyesom Wike,42277
Yemi Osinbajo,41484
Adams Oshiomhole,39280
Addis Ababa,37741
Olusegun Obasanjo,32984
Bukola Saraki,26296
Ifeanyi Okowa,24652
Rochas Okorocha,22700
Atiku Abubakar,22476
Seriake Dickson,21797
Rotimi Amaechi,19072
Godswill Akpabio,17993
Oluwaseun Osewa,17646
Ifeanyi Ugwuanyi,17604
Udom Emmanuel,17113
Rotimi Akeredolu,17046
Ohanaeze Ndigbo,15008
Ben Ayade,13770
Ike Ekweremadu,13457
Okezie Ikpeazu,13331
Ibe Kachikwu,12879
Ayodele Fayose,12564
Olusegun Mimiko,12339
Garba Shehu,11943
Lai Mohammed,11451
Femi Adesina,11226
Ali Modu Sheriff,10905
Barack Obama,10741
Timipre Sylva,10716
Willie Obiano,10417
Yakubu Dogara,10318
Kayode Fayemi,10062
Los Angeles,9624
Babatunde Fashola,9465
Jesus Christ,9247
Obafemi Awolowo,9041
David Umahi,8761
Akinwunmi Ambode,8748
Peter Obi,8730
Sani Abacha,8124
Ahmed Makarfi,8104
Uche Secondus,8060
Rauf Aregbesola,8039
Ibrahim Idris,7783
Ayo Fayose,7715
James Ibori,7587
Ibrahim Magu,7564
Alhaji Lai Mohammed,7524
Nasir El-Rufai,7447
Chris Ngige,7103
Ibrahim Babangida,7044
Eyitayo Jegede,6919
Tukur Buratai,6882
Jimoh Ibrahim,6854
Dino Melaye,6742
Edwin Clark,6735
Bola Tinubu,6635
David Mark,6567
Miyetti Allah,6514
Ahmed Tinubu,6498
Abubakar Malami,6471
Emeka Ihedioha,6300
Kemi Adeosun,6299
Yakubu Gowon,6254
Samuel Ortom,6225
Abba Kyari,6219
Oluwarotimi Akeredolu,6166
Mazi Nnamdi Kanu,6062
Yahaya Bello,5957
Aisha Buhari,5856
Hope Uzodinma,5835
Orji Uzor Kalu,5834
Godwin Emefiele,5815
Aliko Dangote,5746
Nnamdi Azikiwe,5675
Mohammadu Buhari,5640
Patience Jonathan,5577
Maikanti Baru,5431
Dakuku Peterside,5403
Femi Gbajabiamila,5243
Ebere Amaraizu,5241
Attahiru Jega,5228
Umaru Yaradua,5117
Emmanuel Uduaghan,5109
Dave Umahi,4954
Philip Shaibu,4891
Sambo Dasuki,4873
John Odigie-Oyegun,4827
Olisa Metuh,4823
Alhaji Atiku Abubakar,4802
Olu Falae,4802
Aminu Tambuwal,4667
Julius Berger,4648
Ibikunle Amosun,4623
Chibuike Amaechi,4440
Abiola Ajimobi,4421
Chibuike Rotimi Amaechi,4385
Ngozi Okonjo-Iweala,4366
Ohaneze Ndigbo,4319
Agboola Ajayi,4265
Nyesom Ezenwo Wike,4261
Vladimir Putin,4257
Mahmood Yakubu,4214
Ken Saro-Wiwa,4207
Ebele Jonathan,4184
Mohammed Adamu,4184
Femi Falana,4151
Wole Soyinka,4146
Shehu Sani,4141
Seyi Makinde,4108
Fidelis Anosike,4097
Abubakar Shekau,4058
Paul Boroh,4046
Babajide Sanwo-Olu,4034
Magnus Abe,4012
Pope Francis,3974
Alex Ekwueme,3969
Henry Seriake Dickson,3946
Osagie Ehanire,3926
Shehu Shagari,3923
Justice Okon Abang,3878
Donald Duke,3859
David Lyon,3834
Ahmadu Bello,3826
Uche Nwosu,3820
Emmanuel Ibe Kachikwu,3794
Ifeanyi Ubah,3767
Kashim Shettima,3733
Chinua Achebe,3688
Obio Akpor,3684
Lafiya Dole,3676
Theresa May,3670
Las Vegas,3664
Ahmad Lawan,3621
Nnia Nwodo,3610
Ejike Mbaka,3593
Justice Abang,3558
David Cameron,3536
Nsima Ekere,3493
Diezani Alison-Madueke,3430
Nnamdi Omoni,3421
Laolu Akande,3396
Bala Mohammed,3358
Femi Joseph,3346
Sani Usman,3327
Ogbeni Rauf Aregbesola,3320
Alexis Akwagyiram,3314
Dan Orbih,3278
Atlantic Ocean,3275
Audu Ogbeh,3254
Umaru Musa Yaradua,3249
Adamu Adamu,3211
Government Ekpemupolo,3207
Dayo Adeyeye,3199
Yahya Jammeh,3162
Isaac Adewole,3151
Nelson Mandela,3135
Angela Merkel,3123
Babachir Lawal,3108
Tony Anenih,3065
Festus Keyamo,3063
Adama Barrow,3056
Bisi Akande,3042
Crusoe Osagie,3033
Gernot Rohr,2999
Stephen Keshi,2987
Muhammad Buhari,2949
Asinim Butswat,2948
Eric Omare,2945
Lafarge Africa,2903
Osita Okechukwu,2882
Jacob Zuma,2866
Ovie Omo-Agege,2826
Yinka Odumakin,2823
Simon Lalong,2813
Ken Nnamani,2798
Godsday Orubebe,2764
Geoffrey Onyeama,2763
Justice Walter Onnoghen,2734
Wilson Uwujaren,2731
John Kerry,2727
John Oyegun,2718
Nigel Farage,2684
Abdulmumin Jibrin,2667
Musiliu Obanikoro,2664
Ogba Egbema Ndoni,2641
Omoyele Sowore,2637
Ahmed Lawan,2637
Peter Odili,2633
Dapo Abiodun,2620
Reuben Abati,2609
Chikwe Ihekweazu,2602
Abdulsalami Abubakar,2557
Asari Dokubo,2541